Products / Services,Primary Category (Products/Services Keywords),Secondary Category Keywords,First Detected (Timeline Start),Expansion Phase,Current Stage,Company
"Elastic Stack","Data Platform","Search analytics","Q3 2010","Established","3",""
"Snowflake Data Cloud","Data Platform","Cloud data warehouse","Q4 2014","Scaling","2",""
"Palantir Foundry","Data Platform","Data analytics","Q3 2016","Scaling","2",""
"Databricks Lakehouse","Data Platform","Data engineering","Q3 2020","Scaling","2",""
"EY Nexus Platform","Data Platform","Enterprise data integration","Q2 2018","Scaling","2",""
"WD Data Platform","Data Storage","Enterprise storage","Q3 2020","Scaling","2",""
"Jira Software","DevOps","Issue tracking","Q1 2002","Established","3",""
"PagerDuty Incident Platform","DevOps","Incident response","Q1 2010","Established","3",""
"Datadog Monitoring Platform","DevOps","Infrastructure monitoring","Q3 2010","Scaling","2",""
"Apple Pay","Digital Payments","Mobile Wallet","Q4 2014","Established","3",""
"Sony PlayStation Network","Digital Platform","Gaming services","Q4 2006","Established","3",""
"Gojek SuperApp","Digital Platform","Mobility services","Q1 2015","Scaling","2",""
"DXC Platform X","Digital Platform","Enterprise modernization","Q2 2017","Scaling","2",""
"Grab SuperApp","Digital Platform","Mobility & payments","Q1 2018","Scaling","2",""
"Capgemini Intelligent Industry","Digital Transformation","Industry 4.0","Q4 2020","Scaling","2",""
"KPMG Digital Gateway","Digital Transformation","Enterprise analytics","Q3 2019","Scaling","2",""
"SAP S/4HANA","ERP Platform","Finance ERP","Q1 2015","Established","3",""
"Shopify Commerce","Ecommerce Platform","Online storefronts","Q2 2006","Established","3",""
"HP Workforce Solutions","Enterprise IT","Device management","Q3 2019","Established","3",""
"HSBC Digital Banking","Fintech","Mobile banking","Q2 2015","Established","3",""
"Wells Fargo Digital Platform","Fintech","Mobile banking","Q1 2014","Scaling","2",""
"JPMorgan Digital Banking","Fintech","Online banking","Q1 2013","Scaling","2",""
"Marcus Digital Bank","Fintech","Consumer banking","Q4 2016","Scaling","2",""
"Citi Global Wallet","Fintech","Cross-border payments","Q3 2013","Scaling","2",""
"Revolut Digital Banking","Fintech","Mobile banking","Q3 2015","Scaling","2",""
"Robinhood Trading Platform","Fintech","Digital brokerage","Q4 2013","Scaling","2",""
"Klarna Payment Platform","Fintech","Buy Now Pay Later","Q3 2005","Scaling","2",""
"Nubank Digital Bank","Fintech","Mobile banking","Q3 2013","Scaling","2",""
"Unreal Engine","Game Development","3D engine","Q2 1998","Established","3",""
"Riot Game Platform","Gaming Infrastructure","Online gaming","Q4 2009","Scaling","2",""
"Nintendo Online Services","Gaming Platform","Online gaming","Q3 2018","Established","3",""
"EA Play Platform","Gaming Platform","Game subscription","Q3 2019","Scaling","2",""
"Ubisoft Connect","Gaming Platform","Game ecosystem","Q4 2020","Scaling","2",""
"Workday HCM","HR Technology","Workforce management","Q1 2006","Established","3",""
"Lenovo TruScale","IT Infrastructure","Device-as-a-service","Q1 2020","Scaling","2",""
"ServiceNow Platform","ITSM Platform","Workflow automation","Q1 2004","Established","3",""
"Okta Identity Cloud","Identity Security","IAM platform","Q1 2009","Established","3",""
"BMW ConnectedDrive","IoT Platform","Vehicle connectivity","Q1 2008","Scaling","2",""
"Toyota Connected Platform","IoT Platform","Connected vehicles","Q1 2016","Scaling","2",""
"Adobe Experience Cloud","Marketing Technology","CX platform","Q3 2016","Established","3",""
"Uber Platform","Mobility Platform","Ride sharing","Q1 2009","Established","3",""
"PayPal Commerce Platform","Payment Gateway","Online payments","Q4 1998","Established","3",""
"Stripe Payments","Payment Gateway","Online payments","Q3 2011","Established","3",""
"Adyen Payment Platform","Payment Gateway","Global payment processing","Q2 2006","Scaling","2",""
"VisaNet Platform","Payment Infrastructure","Transaction network","Q2 1973","Established","3",""
"Square POS","Payment Technology","POS payments","Q4 2009","Established","3",""
"Mastercard Digital Gateway","Payment Technology","Payment processing","Q1 2013","Established","3",""
"Samsung Knox","Security Platform","Mobile security","Q1 2013","Established","3",""
"Micron AI Memory","Semiconductor","Data center memory","Q1 2023","Pioneering","1",""
"Netflix Streaming Platform","Streaming Technology","Video streaming","Q1 2007","Dominant","4",""
"Spotify Streaming","Streaming Technology","Music streaming","Q4 2008","Established","3",""
"Ericsson 5G Core","Telecom Infrastructure","Network virtualization","Q1 2019","Scaling","2",""
"Nokia Digital Operations","Telecom Software","Network automation","Q2 2018","Scaling","2",""
"Airbnb Platform","Travel Technology","Marketplace platform","Q3 2008","Established","3",""
"Booking Platform","Travel Technology","Travel marketplace","Q2 2014","Established","3",""
"Expedia Travel Platform","Travel Technology","Booking systems","Q1 2015","Established","3",""
"Agoda Booking Platform","Travel Technology","Hospitality booking","Q2 2005","Established","3",""
